Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
29/02/2024 15.24.26,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Dipende (specifica),Dipende dal tipo di videogioco ovviamente ,Si,Il gioco di squadra direi.,PC,,"Assassin's creed (saga), Ryse son of rome",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 15.30.19,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,Mai,Multiplayer Online,,Si,,Non saprei,,Non gioco ai Videogiochi,,Nessuno,,No,,No,,No,No,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,No,No,Non gioco ai videogiochi
29/02/2024 15.30.26,Donna,Generazione X (1965-1980),Diploma o licenza superiore,Meno di un’ora,Entrambi,,Si,,Si,"Assassin's creed, Tomb Raider","Console, VR",,"Assassin's creed (saga), Altro (specifica)",Hellblade,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
29/02/2024 15.31.53,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Immortals fenyx rising",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 15.34.42,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,No,,"Console, Smartphone /Tablet",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,No,Si ogni settimana,No,No,Non ho preferenze
29/02/2024 15.47.50,Donna,Millennials (1981-1996),Licenza elementare,2-3 ore,Entrambi,,No,,No,,"Console, PC",,Nessuno,,No,,Si,,Si,No,Ho potenziato le conoscenze di un altra lingua,,No,No,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 15.48.34,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,No,,PC,,Age of Empire,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 15.49.58,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,EU4,PC,,"Sid Meier's Civilization, Altro (specifica)","EU4,CK",Dipende (Specifica),"Si può consigliare di giocarci nel tempo libero, ci sono modi migliori per impiegare il tempo didattico",Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
29/02/2024 16.03.15,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,"gestionali, strategici, avventure grafiche",Console,,Age of Empire,,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
29/02/2024 16.04.15,Donna,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,No,,Console,,God of war (saga norrena),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 16.07.22,Uomo,Generazione Z (1997-2012),licenza media,Meno di un’ora,Nessuno,,No,,No,,Non gioco ai Videogiochi,,Altro (specifica),"HOI4, ma non ne è valso nemmeno l'1% del tempo che sprecato giocando ai videogiochi-",No,,No,,Si,Si,Altro (Specifica),Devo ammettere che almeno mi hanno aiutato in Inglese,No,No,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
29/02/2024 16.08.01,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Paradossalmente per via degli effetti negativi, ma direi League of Legends. LoL mi ha mostrato che con la giusta determinazione e il corretto apprendimento si possono raggiungere i risultati sperati.","Console, PC, VR",,"God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Dipende (specifica),"Come ogni caso, dipende dall'utilizzo che se ne fa. L'abuso del mondo online e dei videogiochi può condurre a serie problematiche sociali e a creare dipendenza da questi. O può essere parte della vita sociale e integrarsi in essa, magari aprendo porte a nuove amicizie.",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 16.08.38,Uomo,Generazione Z (1997-2012),licenza media,Non gioco regolarmente,Single player,,Si,,Si,"Resident evil 7 ,  revelation 2 e specialmente outlast ( anche se quest' ultimi 2 non li ho giocati per intero ), da aspirante sviluppatore di videogiochi, mi hanno dato delle dritte per il futuro ( al momento non sviluppo videogiochi, ma semplicemente sto imparando a programmare) su come fare dei videogiochi horror di elevata qualità ",Console,,Nessuno,,Dipende (Specifica),"Dipende , ad esempio ( e solo un esempio, ce ne sono tanti altri )Fortnite lo puoi utilizzare per fare mappe che possono essere usate per imparare, ma molti altri no ",Dipende (specifica),"Dipende se si vuole relazionare con qualcuno o no , se fai il tossico o il tuo compagno di squadra lo e , la vedo difficile ( ma comunque non sempre impossibile)",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 16.10.54,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Dipende (specifica),"Penso che i videogiochi che lasciano spazio alla personalizzazione del personaggio, ambiente etc si possano definire arte, gli altri, purtroppo, sono arte solo per coloro che li sviluppano ma non per chi li gioca, insomma non vedo arte nei videogiochi sparatutto o picchiaduro ad esempio",Si,"Era un videogioco sulla matematica, non ricordo il nome. ","PC, Smartphone /Tablet",,Altro (specifica),"Non ho giocato a nessuno di questi, non sono il mio genere... ",Si,,Si,,No,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
29/02/2024 16.12.34,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Dipende (specifica),"I videogiochi sono anzitutto una forma di intrattenimento, che tuttavia come ogni prodotto dell'ingegno e della creatività dell'uomo possono incorporare ispirazioni e suggestioni artistiche",Si,"Lo svolgimento del gioco Mother 2 (Earthbound in Occidente) in età ancora infantile, cosi come molti altri giochi ad alto contenuto testuale, hanno favorito la mia attitudine alla lettura e alimentato la passione linguistica","Console, Console portatili, PC",,Altro (specifica),La serie di Final Fantasy ha quantomeno stuzzicato all'epoca la mia curiosità relativamente ai molti riferimenti mitologici e culturali di cui sono imbevuti i suoi episodi,Si,,Dipende (specifica),"Possono certamente fornire uno spunto per accrescere le occasioni di socialità, anche solo come pretesto e oggetto di conversazione, purché siano vissuti con il giusto approccio e senza alienazione",Si,Si,Si ho imparato un'altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
29/02/2024 16.18.30,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Multiplayer Online,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), Altro (specifica)",Battlefield ,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,No,Preferisco la compagnia di chi videogioca
29/02/2024 16.20.32,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Single player,,Si,,No,,"Console, Console portatili",,"Assassin's creed (saga), Sid Meier's Civilization",,Si,,Mi astengo dal giudizio,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
29/02/2024 16.24.11,Donna,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,No,,Non saprei,,"Console, Smartphone /Tablet",,Nessuno,,Dipende (Specifica),,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Mai o quasi mai,No,Si,Non ho preferenze
29/02/2024 16.50.01,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Single player,,Si,,Si,Mass Effect,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 17.10.43,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
29/02/2024 17.15.06,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,ac 2,"Console, Smartphone /Tablet",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Mai o quasi mai,No,No,Non ho preferenze
29/02/2024 17.15.28,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Multiplayer Online,,Si,,No,,PC,,Nessuno,,Dipende (Specifica),Dipende da come è stato concepito il videogioco e da quello che tratta. Ci sono alcuni giochi che possono essere utilizzati come strumenti formativi e invece altri giochi che di formativo non hanno nulla.,Dipende (specifica),"Dipende cosa si intende per ""alternativa alla socialità tradizionale"". Ci sono alcune cose nella società tradizionale che ancora non possono essere un'alternativa. ",Si,No,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
29/02/2024 17.19.16,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Outer Wilds / Bioshock,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,No,Non ho preferenze
29/02/2024 17.20.18,Uomo,Generazione Z (1997-2012),Laurea o superiore,Meno di un’ora,Single player,,No,,No,,"PC, Smartphone /Tablet",,"God of War (saga Greca), God of war (saga norrena)",,Si,,No,,No,No,No non ho imparato un altra lingua,,No,No,Si tutti i giorni,No,No,Preferisco la compagnia di chi non videogioca
29/02/2024 17.22.37,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,"Europa Universalis 2, Medieval Total War, Rome Total War","Console, Console portatili",,"Assassin's creed (saga), Hades, Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 17.25.05,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,The Legend of Zelda: Ocarina of Time,"Console, PC",,"Age of Empire, Sid Meier's Civilization, Immortals fenyx rising",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Preferisco la compagnia di chi videogioca
29/02/2024 17.25.56,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 17.34.49,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,No,,Console,,Nessuno,,Dipende (Specifica),Dipende dall' uso che ne si fa e dallo scopo che ne si vuole dare ,Si,,No,No,Si ho imparato un'altra lingua,,Si,No,Si tutti i giorni,No,No,Non ho preferenze
29/02/2024 17.35.39,Preferisco non specificarlo,Millennials (1981-1996),licenza media,4-6 ore,Single player,,Dipende (specifica),Sì*,Si,"Sì*, tutti, Isaac in particolare",PC,,Altro (specifica),Metal Gear Solid: The Twin Snakes,Dipende (Specifica),"Sì*, ma solo alcuni",Dipende (specifica),Sì*,L'ho fatto,Si,Altro (Specifica),"Sì*, ho imparato l'inglese",Si,Si,Mai o quasi mai,Si,No,Preferisco la compagnia di chi videogioca
29/02/2024 17.50.12,Uomo,Generazione Z (1997-2012),Laurea o superiore,2-3 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,Assassin's creed (saga),,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,No,Si,Si ogni settimana,Si,No,Non ho preferenze
29/02/2024 17.52.54,Uomo,Generazione Z (1997-2012),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,"Di sicuro mi hanno permesso di sviluppare una mia visione critica e di pensiero. Spesso la applico nel mio lavoro, in quanto mi occupo di Graphic Design. A livello puramente formativo mi hanno dato spunti importanti per sviluppare idee e progetti anche solo facendomi ragionare su dei determinati concetti ","Console, Console portatili",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Dipende (specifica),Online non esclude lo stringere rapporti nella realtà. Possono essere sicuramente uno strumento che ci rende più vicini ma sarebbe bello poi consolidare queste conoscenze anche dal vivo,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 17.57.08,Uomo,Millennials (1981-1996),Diploma o licenza superiore,7>,Single player,,Si,,Si,Gli strategici in tempo reale hanno acceso l'interesse per la storia.,PC,,Age of Empire,,Si,,No,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Preferisco la compagnia di chi videogioca
29/02/2024 18.01.16,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,God of War (saga Greca),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 18.03.20,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Si,,"Console, PC",,"God of War (saga Greca), God of war (saga norrena)",,Dipende (Specifica),"Esattamente come nella letteratura e storia dell'arte, anche in questo caso certi videogiochi passeranno alla storia e spero verranno studiati come materia parallela a quelle precedentemente citate",Dipende (specifica),"La socializzazione via rete è pur sempre una parziale socializzazione. La visione del corpo e del viso di una persona in carne e ossa è psicologicamente fondamentale per instaurare un rapporto più solido e unito. Internet dovrebbe essere un aiuto per la socializzazione, quindi non un sostituto",L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 18.04.02,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,Mass Effect Trilogy,PC,,"Age of Empire, Sid Meier's Civilization",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
29/02/2024 18.27.19,Donna,Millennials (1981-1996),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,"Nello specifico non saprei, un po' tutti mi hanno insegnato qualcosa ",Console,,Nessuno,,Si,,Dipende (specifica),"Ci sono tante persone, alcune positive altre negative.",No,No,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
29/02/2024 18.33.04,Donna,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Assassin's creed (saga),,Si,,Dipende (specifica),Spesso i rapporti tramite multiplayer sono tossici,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 18.38.35,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Multiplayer Online,,Si,,Non saprei,,PC,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
29/02/2024 18.48.57,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Age of Empire",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 18.55.08,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,"Assassin's creed, Age of mythology, Dark souls (japanese culture/english literature vocabulary)",PC,,"Assassin's creed (saga), Altro (specifica)",Age of mythology,Dipende (Specifica),"Si possono certamente utilizzare come strumenti formativi, ma la formazione non può essere basata interamente (e neanche per la maggior parte) basata sui videogiochi, soprattutto se non concepiti a scopo didattico",Dipende (specifica),"Facilitano la connessione tra persone con stessi interessi, ma non dovrebbe essere un' alternativa e non può sostituire la vita sociale tradizionale, tutt'al più puo essere un modo AGGIUNTIVO per conoscere nuove persone",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 18.58.51,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, PC",,Age of Empire,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,No,Si,Non ho preferenze
29/02/2024 19.14.19,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Entrambi,,Si,,Si,"Assassin's creed sulla storia, così come i cod e i battlefield ambientati in epoche reali",Console,,"Assassin's creed (saga), Age of Empire, Ryse son of rome, Altro (specifica)","Call of Duty, Battlefield",Si e li utilizzo,,Dipende (specifica),"Dipende da quanto la persona sia disposta ad aprirsi agli altri, come nella vita reale, anche se online è più facile, ma a volte può essere più pericoloso non vedendo chi c'è dall'altra parte",Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 19.34.42,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,"Qualsiasi gioco gestionale, indifferentemente",PC,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 19.35.51,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,Console,,God of War (saga Greca),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,No,No,Non ho preferenze
29/02/2024 19.37.08,Donna,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,"Tetris, the Sims.","PC, Smartphone /Tablet",,Age of Empire,,Si,,Si,,No,No,No non ho imparato un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 19.39.14,Uomo,Generazione Z (1997-2012),formazione professionalizzante,Non gioco regolarmente,Entrambi,,Si,,No,,PC,,"Age of Empire, Altro (specifica)",Age of Mitology,Si,,Dipende (specifica),"Dipende dall'utilizzo effettivo. Penso xhe possa essere una buona alternativa per persone timide che magari hanno timore nell'esprimersi nella realtà, ma penso che una volta stabilita una connessione o un amicizia online, devva essere poi portata avanti anche nella vita vera",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 19.40.46,Uomo,Generazione X (1965-1980),Laurea o superiore,2-3 ore,Entrambi,,Dipende (specifica),dalla loro qualità,Non saprei,,PC,,"Age of Empire, Sid Meier's Civilization",,Si,,Dipende (specifica),possono facilitare la connessione SI - offrire un'alternativa alla socialità tradizionale NO: la vera relazione è sempre dal vivo,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,No,No,Non ho preferenze
29/02/2024 19.47.05,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Si,La saga Assassin's creed,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Immortals fenyx rising",,Si e li utilizzo,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,Si,Non ho preferenze
29/02/2024 19.48.04,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,4-6 ore,Entrambi,,Si,,Si,,Console,,Nessuno,,Si,,Dipende (specifica),Diciamo che molta gente tossica distrugge questa connessione,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
29/02/2024 19.49.12,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Immortals fenyx rising",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
29/02/2024 19.55.36,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Entrambi,,Si,,Non saprei,,Console,,"God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
29/02/2024 19.56.44,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,,PC,,Sid Meier's Civilization,,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
29/02/2024 19.57.30,Uomo,Millennials (1981-1996),Diploma o licenza superiore,Meno di un’ora,Single player,,Si,,Si,World of warcraft,PC,,"God of war (saga norrena), Age of Empire",,Si,,Dipende (specifica),"Nel mio caso hanno creato legami di amicizia a distanza molto forti, ma la socialità tradizionale e più in generale il passare il tempo all’aperto sono aspetti importanti nella quotidianità, che non andrebbero esclusi",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 20.00.26,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Tutti mi hanno dato una manualità e praticità nei micromovimenti e nella coordinazione occhio mano che mi è stata utile nel mio attuale lavoro,"Console, PC",,"God of war (saga norrena), Age of Empire",,Si,,Dipende (specifica),,No,Si,Si ho imparato un'altra lingua,,No,Si,Si ogni settimana,No,Si,Non ho preferenze
29/02/2024 20.02.18,Uomo,Millennials (1981-1996),Laurea o superiore,4-6 ore,Single player,,Si,,No,,"Console, Console portatili, PC",,"Assassin's creed (saga), Age of Empire",La serie di giochi “imperium” e “stronghold”,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 20.25.39,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,No,,"Console, Console portatili",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 20.28.53,Uomo,Millennials (1981-1996),Laurea o superiore,Meno di un’ora,Entrambi,,Dipende (specifica),Credo che solo pochi developers la considerino tale,Non saprei,,PC,,"God of War (saga Greca), Age of Empire",,No,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 20.30.17,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,"Quando ero piccolo giocavo tutti in giochi in inglese visto che vivevo in Romania e non c'era l'opzione della mia lingua, mi ha aiutato tantissimo ad apprendere l'inglese ",Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,Si,Preferisco la compagnia di chi videogioca
29/02/2024 20.34.30,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,2-3 ore,Entrambi,,No,,Si,,PC,,Sid Meier's Civilization,,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,No,Si,Si tutti i giorni,Si,Si,Non ho preferenze
29/02/2024 20.37.23,Donna,Generazione X (1965-1980),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,Si,Mass Effect,"Console, PC",,Nessuno,,Si,,No,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,No,Non ho preferenze
29/02/2024 20.55.26,Uomo,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Dipende (specifica),,Si, ,Console,,"Assassin's creed (saga), Altro (specifica)",,Dipende (Specifica),,Dipende (specifica),,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Si ogni settimana,Si,Si,Non ho preferenze
29/02/2024 21.03.35,Donna,Millennials (1981-1996),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,Uno dei miei lavori è letteralmente creare contenuti educativi usando Minecraft 😊,"Console portatili, PC",,"Assassin's creed (saga), Age of Empire",,Si e li utilizzo,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
29/02/2024 21.04.43,Uomo,Millennials (1981-1996),Laurea o superiore,Non gioco regolarmente,Single player,,Si,,No,,Console,,"Assassin's creed (saga), Age of Empire",,Dipende (Specifica),"Dipende se hanno una modalità che possa servire per questo scopo, come la modalita esplorazione degli assassin's creed",Dipende (specifica),"Facilitano la connessione ma non sono un'alternativa alla socialità tradizionale, è una socialità diversa che al massimo si può aggiungere a quella tradizionale",No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
29/02/2024 21.06.29,Donna,Millennials (1981-1996),Laurea o superiore,2-3 ore,Single player,,Si,,Non saprei,,PC,,Age of Empire,,No,,Si,,No,Si,No non ho imparato un altra lingua,,Si,Si,Si ogni settimana,No,No,Non ho preferenze
